City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,tete,-16.1564,33.5867,26.05,69,4,0.0,MZ,1682409470
254,ulsteinvik,62.3432,5.8487,4.95,73,100,5.36,NO,1682409470
255,chaman,30.9236,66.4512,27.73,15,99,4.98,PK,1682409471
256,haiku-pauwela,20.9219,-156.3051,22.8,86,21,0.89,US,1682409471
257,armacao de buzios,-22.7469,-41.8817,20.03,86,20,1.26,BR,1682409471
258,sao vicente,-23.9631,-46.3919,21.66,26,17,1.69,BR,1682409471
259,san blas,21.5167,-105.2667,19.98,63,23,1.21,MX,1682409471
260,vredendal,-31.6683,18.5012,20.52,70,9,0.24,ZA,1682409472
261,tamanrasset,22.785,5.5228,23.95,16,0,7.72,DZ,1682409472
262,wailua homesteads,22.0669,-159.378,21.24,88,93,0.45,US,1682409472
263,new norfolk,-42.7826,147.0587,17.72,56,28,1.53,AU,1682409472
264,aasiaat,68.7098,-52.8699,-6.23,100,100,2.79,GL,1682409472
265,bonthe,7.5264,-12.505,28.02,82,100,2.5,SL,1682409472
266,peace river,56.2501,-117.286,6.48,89,75,2.06,CA,1682409472
267,vila velha,-20.3297,-40.2925,21.97,96,100,2.06,BR,1682409473
268,zhigalovo,54.8097,105.1578,11.48,37,100,0.57,RU,1682409473
269,lerwick,60.1545,-1.1494,4.0,55,78,8.59,GB,1682409473
270,singera,46.9131,28.9775,14.39,67,0,4.63,MD,1682409474
271,ciutadella,40.0011,3.8414,17.45,74,100,1.8,ES,1682409474
272,barah,13.7,30.3667,37.06,23,42,3.47,SD,1682409474
273,antsiranana,-12.2787,49.2917,31.42,62,40,3.09,MG,1682409474
274,prince george,53.9166,-122.753,4.03,76,100,1.03,CA,1682409474
275,boguchany,58.3814,97.4531,6.06,93,100,3.01,RU,1682409475
276,port augusta,-32.5,137.7667,25.53,32,100,4.6,AU,1682409475
277,nar'yan-mar,67.6713,53.087,-1.57,84,6,5.59,RU,1682409475
278,sur,22.5667,59.5289,30.87,48,3,3.23,OM,1682409475
279,olinda,-8.0089,-34.8553,23.85,88,100,1.54,BR,1682409475
280,choix,26.7092,-108.3219,19.59,33,44,1.83,MX,1682409476
281,murzuq,25.9155,13.9184,26.91,24,0,7.99,LY,1682409476
282,addison,41.9317,-87.989,6.89,86,100,0.0,US,1682409476
283,breyten,-26.3018,29.987,22.27,30,66,2.64,ZA,1682409476
284,castillos,-34.1667,-53.8333,17.36,94,99,2.75,UY,1682409243
285,la sarre,48.8002,-79.1996,-1.98,95,100,4.31,CA,1682409231
286,tra mhor,52.1624,-7.1524,7.07,83,20,3.09,IE,1682409477
287,hawaiian paradise park,19.5933,-154.9731,21.69,90,91,1.14,US,1682409477
288,la'ie,21.6477,-157.9253,23.89,87,21,1.34,US,1682409477
289,pacific grove,36.6177,-121.9166,10.04,87,91,3.13,US,1682409477
290,hithadhoo,-0.6,73.0833,29.4,72,97,4.77,MV,1682409477
291,alaghsas,17.0187,8.0168,30.94,23,1,3.09,NE,1682409478
292,iskateley,67.6803,53.1512,-1.64,84,6,5.56,RU,1682409478
